#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
1107.54; 28.500145; 133294.17474167
1109.57; 27.913293; 133351.00379668
1111.61; 27.387403; 133406.76218486
1113.64; 26.946577; 133461.62308975
1115.68; 26.595264; 133515.7687516
1117.72; 26.3181; 133569.35013093
1119.75; 26.084968; 133622.45687514
1121.79; 25.86053; 133675.10668188
1123.82; 25.615773; 133727.25818427
1125.86; 25.338114; 133778.84439859
1127.90; 25.036671; 133829.81689949
1129.93; 24.740636; 133880.18669832
1131.97; 24.490862; 133930.0479787
1134.00; 24.326977; 133979.57560378
1136.04; 24.273953; 134028.99527648
1138.08; 24.33237; 134078.53388276
1140.11; 24.47559; 134128.36407081
1142.15; 24.654925; 134178.55937069
1144.18; 24.811463; 134229.07336843
1146.22; 24.891083; 134279.74946473
1148.26; 24.858263; 134330.35874301
1150.29; 24.704628; 134380.65523253
1152.33; 24.449791; 134430.43289673
1154.36; 24.13441; 134479.56847228
1156.40; 23.807663; 134528.03881935
1158.43; 23.513001; 134575.90926025
1160.47; 23.276426; 134623.29805503
1162.51; 23.100683; 134670.32905279
1164.54; 22.966875; 134717.08762788
1166.58; 22.842718; 134763.59342948
1168.61; 22.694681; 134809.79784189
1170.65; 22.500141; 134855.60618782
1172.69; 22.255789; 134900.91705446
1174.72; 21.979782; 134945.66599307
1176.76; 21.707066; 134989.85970569
1178.79; 21.479393; 135033.58989521
1180.83; 21.33305; 135077.02214489
1182.87; 21.287935; 135120.36254281
1184.90; 21.34104; 135163.81105786
1186.94; 21.466073; 135207.51413086
1188.97; 21.619097; 135251.52874562
1191.01; 21.748447; 135295.80670671
1193.05; 21.806197; 135340.20224162
1195.08; 21.758226; 135384.50011278
1197.12; 21.590655; 135428.45682233
1199.15; 21.311544; 135471.84528652
1201.19; 20.948085; 135514.4937787
1203.22; 20.540488; 135556.31243952
1205.26; 20.134326; 135597.3041895
1207.30; 19.773015; 135637.56034104
1209.33; 19.491707; 135677.24377447
1211.37; 19.313255; 135716.56389499
1213.40; 19.246384; 135755.74787251
1215.44; 19.285902; 135795.01230445
1217.48; 19.414647; 135834.53885045
1219.51; 19.606881; 135874.45676741
1221.55; 19.832756; 135914.83454791
1223.58; 20.06335; 135955.68179654
1225.62; 20.275464; 135996.96089145
1227.66; 20.45523; 136038.60597354
1229.69; 20.599534; 136080.5448478
1231.73; 20.714696; 136122.71818212
1233.76; 20.812495; 136165.09062516
1235.80; 20.904525; 136207.65043404
1237.84; 20.996541; 136250.39757885
1239.87; 21.084658; 136293.32412366
1241.91; 21.154894; 136336.39366133
1243.94; 21.186484; 136379.52751417
1245.98; 21.158173; 136422.60372768
1248.02; 21.055512; 136465.47093225
1250.05; 20.876737; 136507.97416756
1252.09; 20.63512; 136549.98549071
1254.12; 20.356816; 136591.43021186
1256.16; 20.074786; 136632.30074354
1258.19; 19.820713; 136672.65400506
1260.23; 19.617587; 136712.59371997
1262.27; 19.475345; 136752.24384069
1264.30; 19.390855; 136791.72194707
1266.34; 19.351957; 136831.12086143
1268.37; 19.343807; 136870.50318315
1270.41; 19.355032; 136909.90835709
1272.45; 19.381393; 136949.36720075
1274.48; 19.425714; 136988.91627781
1276.52; 19.494309; 137028.6050092
1278.55; 19.591526; 137068.49166621
1280.59; 19.714691; 137108.62907502
1282.63; 19.85158; 137149.04517864
1284.66; 19.981586; 137189.72596242
1286.70; 20.080369; 137230.60786019
1288.73; 20.126584; 137271.58384821
1290.77; 20.108538; 137312.52309666
1292.81; 20.028686; 137353.29977342
1294.84; 19.904551; 137393.82372151
1296.88; 19.765723; 137434.06502783
1298.91; 19.647677; 137474.06600248
1300.95; 19.58394; 137513.93721373
1302.98; 19.598492; 137553.83805116
1305.02; 19.700156; 137593.94586829
1307.06; 19.880241; 137634.42032324
1309.09; 20.113965; 137675.37061939
1311.13; 20.36538; 137716.83277565
1313.16; 20.594763; 137758.76193525
1315.20; 20.766846; 137801.04144187
1317.24; 20.858048; 137843.50662808
1319.27; 20.861008; 137885.97783927
1321.31; 20.78537; 137928.29505969
1323.34; 20.654724; 137970.34629547
1325.38; 20.500615; 138012.08377842
1327.42; 20.355391; 138053.5255973
1329.45; 20.24588; 138094.74446122
1331.49; 20.189535; 138135.84861301
1333.52; 20.19374; 138176.96132489
1335.56; 20.257819; 138218.20449557
1337.60; 20.376403; 138259.68909295
1339.63; 20.542456; 138301.51176045
1341.67; 20.748688; 138343.75429907
1343.70; 20.98702; 138386.48206085
1345.74; 21.246842; 138429.73879691
1347.77; 21.513516; 138473.53845939
1349.81; 21.768593; 138517.85743698
1351.85; 21.992472; 138562.63221283
1353.88; 22.169094; 138607.76657526
1355.92; 22.291141; 138653.14941449
1357.95; 22.363682; 138698.6799405
1359.99; 22.404494; 138744.29355769
1362.03; 22.440357; 138789.98018786
1364.06; 22.500034; 138835.78831561
1366.10; 22.605957; 138881.81209392
1368.13; 22.767205; 138928.16415941
1370.17; 22.976116; 138974.94154846
1372.21; 23.209775; 139022.19464702
1374.24; 23.436127; 139069.90857866
1376.28; 23.623009; 139118.00298673
1378.31; 23.747509; 139166.35086556
1380.35; 23.802911; 139214.81153835
1382.39; 23.801177; 139263.26868031
1384.42; 23.770137; 139311.66262693
1386.46; 23.74606; 139360.00755582
1388.49; 23.763581; 139408.38815643
1390.53; 23.845766; 139456.936078
1392.56; 23.997188; 139505.79228129
1394.60; 24.202164; 139555.06579847
1396.64; 24.428925; 139604.80098164
1398.67; 24.638785; 139654.96342047
1400.71; 24.797811; 139705.44962268
1402.74; 24.88758; 139756.11858777
1404.78; 24.911681; 139806.83662108
1406.82; 24.895809; 139857.5223396
1408.85; 24.881246; 139908.17840866
1410.89; 24.913653; 139958.90045661
1412.92; 25.030635; 140009.86066832
1414.96; 25.251918; 140061.27139347
1417.00; 25.575056; 140113.34000067
1419.03; 25.977588; 140166.22812715
1421.07; 26.424384; 140220.02589234
1423.10; 26.877312; 140274.7457807
1425.14; 27.303922; 140330.33420992
1427.18; 27.682764; 140386.69392828
1429.21; 28.004668; 140443.70901526
1431.25; 28.271039; 140501.26641003
1433.28; 28.491166; 140559.27196592
1435.32; 28.680328; 140617.66263903
1437.36; 28.859254; 140676.41758959
1439.39; 29.054065; 140735.56915772
1441.43; 29.294905; 140795.21105517
1443.46; 29.611759; 140855.49804006
1445.50; 30.027343; 140916.63111872
1447.53; 30.548853; 140978.82594643
1449.57; 31.161754; 141042.26858749
1451.61; 31.828881; 141107.06944178
1453.64; 32.496592; 141173.2296986
1455.68; 33.107094; 141240.63288447
1457.71; 33.613399; 141309.06686442
1459.75; 33.991886; 141378.27141048
1461.79; 34.247869; 141447.99711591
1463.82; 34.411957; 141518.05688977
