#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
1125.86; 14.46006; 127369.1578585
1127.90; 14.439663; 127398.55576669
1129.93; 14.419794; 127427.91322202
1131.97; 14.40338; 127457.23726129
1134.00; 14.389723; 127486.53349563
1136.04; 14.373911; 127515.79753823
1138.08; 14.348296; 127545.00943007
1140.11; 14.305375; 127574.13393962
1142.15; 14.240937; 127603.12725731
1144.18; 14.156243; 127631.94814647
1146.22; 14.058462; 127660.56996276
1148.26; 13.959185; 127688.98965796
1150.29; 13.871556; 127717.23094972
1152.33; 13.806987; 127745.34078411
1154.36; 13.772446; 127773.38029638
1156.40; 13.76909; 127801.41297547
1158.43; 13.792461; 127829.49323548
1160.47; 13.834003; 127857.65807116
1162.51; 13.883291; 127885.923253
1164.54; 13.930284; 127914.28410963
1166.58; 13.967051; 127942.7198208
1168.61; 13.988686; 127971.19957736
1170.65; 13.993421; 127999.68897488
1172.69; 13.982145; 128028.15541609
1174.72; 13.957583; 128056.57185023
1176.76; 13.923388; 128084.9186659
1178.79; 13.883311; 128113.18388792
1180.83; 13.840535; 128141.36202217
1182.87; 13.79724; 128169.4520119
1184.90; 13.754433; 128197.45485073
1186.94; 13.712061; 128225.37142326
1188.97; 13.669355; 128253.20104966
1191.01; 13.625287; 128280.9409577
1193.05; 13.578953; 128308.58653332
1195.08; 13.529707; 128336.13184835
1197.12; 13.47698; 128363.56981657
1199.15; 13.419875; 128390.8915249
1201.19; 13.356798; 128418.08481309
1203.22; 13.285448; 128445.13283862
1205.26; 13.203407; 128472.01383537
1207.30; 13.109301; 128498.70324029
1209.33; 13.004205; 128525.17867918
1211.37; 12.89271; 128551.42712304
1213.40; 12.783035; 128577.45228004
1215.44; 12.685833; 128603.2795411
1217.48; 12.611766; 128628.95600797
1219.51; 12.568515; 128654.5444188
1221.55; 12.558192; 128680.11181402
1223.58; 12.576184; 128705.71583941
1225.62; 12.612022; 128731.39282706
1227.66; 12.652199; 128757.15161157
1229.69; 12.684092; 128782.97532724
1231.73; 12.699644; 128808.83070602
1233.76; 12.697459; 128834.6816371
1235.80; 12.682466; 128860.50204316
1237.84; 12.6632; 128886.28322585
1239.87; 12.647682; 128912.03281463
1241.91; 12.639452; 128937.76564753
1243.94; 12.635347; 128963.49012425
1245.98; 12.625982; 128989.19553382
1248.02; 12.598868; 129014.845741
1250.05; 12.543086; 129040.38238163
1252.09; 12.453762; 129065.73716713
1254.12; 12.334615; 129090.84937959
1256.16; 12.197541; 129115.68252133
1258.19; 12.059301; 129140.23421702
1260.23; 11.936467; 129164.53583272
1262.27; 11.84046; 129188.64198691
1264.30; 11.774457; 129212.61376596
1266.34; 11.733242; 129236.50163395
1268.37; 11.705946; 129260.33393067
1270.41; 11.680567; 129284.11455774
1272.45; 11.648493; 129307.82988453
1274.48; 11.607357; 129331.46146191
1276.52; 11.561229; 129354.99912638
1278.55; 11.518222; 129378.44923201
1280.59; 11.486582; 129401.83492222
1282.63; 11.470874; 129425.18863111
1284.66; 11.469759; 129448.54007153
1286.70; 11.47621; 129471.9046448
1288.73; 11.479986; 129495.27690453
1290.77; 11.471372; 129518.6316278
1292.81; 11.444713; 129541.93207593
1294.84; 11.400423; 129565.14235224
1296.88; 11.344806; 129588.23939824
1298.91; 11.287887; 129611.22056124
1300.95; 11.240159; 129634.10455494
1302.98; 11.20953; 129656.92619016
1305.02; 11.199515; 129679.7274369
1307.06; 11.209183; 129702.54836707
1309.09; 11.234592; 129725.42102666
1311.13; 11.270909; 129748.36762442
1313.16; 11.31421; 129771.40238027
1315.20; 11.362202; 129794.53484291
1317.24; 11.41367; 129817.77208966
1319.27; 11.467082; 129841.11807836
1321.31; 11.519163; 129864.57010072
1323.34; 11.564296; 129888.11401016
1325.38; 11.595219; 129911.72087441
1327.42; 11.604909; 129935.34746711
1329.45; 11.588975; 129958.94161989
1331.49; 11.547565; 129982.4514656
1333.52; 11.485939; 130005.83584541
1335.56; 11.413323; 130029.07238686
1337.60; 11.340349; 130052.16035843
1339.63; 11.275936; 130075.11719092
1341.67; 11.224773; 130097.96985995
1343.70; 11.186327; 130120.74425577
1345.74; 11.155778; 130143.45645629
1347.77; 11.126542; 130166.10913558
1349.81; 11.093437; 130188.69441667
1351.85; 11.05529; 130211.20203277
1353.88; 11.01598; 130233.62961717
1355.92; 10.983498; 130255.99107026
1357.95; 10.967316; 130278.31957934
1359.99; 10.975012; 130300.66375558
1362.03; 11.009329; 130323.07780016
1364.06; 11.066738; 130345.60872353
1366.10; 11.13797; 130368.28466972
1368.13; 11.210367; 130391.10800877
1370.17; 11.271223; 130414.055246
1372.21; 11.311053; 130437.08357343
1374.24; 11.325766; 130460.14185456
1376.28; 11.317186; 130483.18266879
1378.31; 11.291934; 130506.17207098
1380.35; 11.259198; 130529.09482595
1382.39; 11.228248; 130551.95457053
1384.42; 11.206477; 130574.76999091
1386.46; 11.198474; 130597.56911792
1388.49; 11.206192; 130620.38395737
1390.53; 11.229849; 130643.24696173
1392.56; 11.269007; 130666.18968656
1394.60; 11.32326; 130689.24286621
1396.64; 11.392262; 130712.43652881
1398.67; 11.47511; 130735.79886334
1400.71; 11.569453; 130759.35327212
1402.74; 11.670824; 130783.11406188
1404.78; 11.772624; 130807.08210732
1406.82; 11.866946; 130831.24218535
1408.85; 11.946072; 130855.5633572
1410.89; 12.0042; 130880.00287152
1412.92; 12.03884; 130904.51291013
1414.96; 12.051408; 130929.04853762
1417.00; 12.046817; 130953.57481726
1419.03; 12.032219; 130978.07137574
1421.07; 12.015362; 131002.53361521
1423.10; 12.003117; 131026.970926
1425.14; 12.000641; 131051.40319487
1427.18; 12.01135; 131075.85726653
1429.21; 12.037547; 131100.36467292
1431.25; 12.081252; 131124.96105963
1433.28; 12.144742; 131149.68670586
1435.32; 12.230433; 131174.58681152
1437.36; 12.340077; 131199.71014292
1439.39; 12.473567; 131225.10524851
1441.43; 12.627886; 131250.81453539
1443.46; 12.796739; 131276.86759141
1445.50; 12.971172; 131303.27577859
1447.53; 13.141146; 131330.03001749
1449.57; 13.297622; 131357.10282827
1451.61; 13.434537; 131384.45438527
1453.64; 13.550015; 131412.04104641
1455.68; 13.646428; 131439.82399646
1457.71; 13.729256; 131467.77557716
1459.75; 13.805106; 131495.8815818
1461.79; 13.879491; 131524.13902725
1463.82; 13.955045; 131552.55029475
1465.86; 14.030728; 131581.11564555
1467.89; 14.102279; 131609.8266678
1469.93; 14.163855; 131638.66305496
1471.97; 14.210441; 131667.59428605
1474.00; 14.240369; 131696.58644844
1476.04; 14.257214; 131725.61290515
1478.07; 14.270359; 131754.66612486
1480.11; 14.293846; 131783.76716116
1482.15; 14.343519; 131812.96932836
1484.18; 14.433038; 131842.35374896
1486.22; 14.569762; 131872.01652612
1488.25; 14.751773; 131902.04986239
1490.29; 14.967182; 131932.52175382
1492.32; 15.196297; 131963.46010372
1494.36; 15.41642; 131994.84660511
1496.40; 15.608135; 132026.62342114
1498.43; 15.761306; 132058.71208084
1500.47; 15.878918; 132091.04018729
1502.50; 15.977403; 132123.56880177
1504.54; 16.083172; 132156.31275112
1506.58; 16.226229; 132189.34795282
1508.61; 16.432758; 132222.80363086
1510.65; 16.718844; 132256.84175488
1512.68; 17.087118; 132291.62965163
1514.72; 17.527094; 132327.31330249
1516.76; 18.018752; 132363.99792581
1518.79; 18.537933; 132401.73955709
1520.83; 19.061782; 132440.54770097
