#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
1799.75; 2.5644415; 130178.00790455
1801.78; 2.0355168; 130182.15204109
1803.82; 1.6323653; 130185.47539602
1805.86; 1.4026088; 130188.33098652
1807.89; 1.3663862; 130191.11283094
1809.93; 1.5077554; 130194.18249075
1811.96; 1.7779189; 130197.80218026
1814.00; 2.108254; 130202.09440345
1816.04; 2.4277359; 130207.03706426
1818.07; 2.6786071; 130212.49047705
1820.11; 2.8259705; 130218.24390909
1822.14; 2.8601433; 130224.06691398
1824.18; 2.7934225; 130229.75408103
1826.21; 2.6541847; 130235.15777206
1828.25; 2.4807249; 130240.20831384
1830.29; 2.3156733; 130244.92282484
1832.32; 2.200404; 130249.40265738
1834.36; 2.1684978; 130253.81753176
1836.39; 2.2382571; 130258.3744301
1838.43; 2.4058583; 130263.2725499
1840.47; 2.6419254; 130268.65128199
1842.50; 2.8942031; 130274.54362965
1844.54; 3.0973589; 130280.84958501
1846.57; 3.1883257; 130287.34074102
1848.61; 3.1231195; 130293.69914278
1850.65; 2.8898897; 130299.58270872
1852.68; 2.5137101; 130304.70040563
1854.72; 2.0511233; 130308.87631572
1856.75; 1.575802; 130312.08451257
1858.79; 1.1596394; 130314.44543825
1860.83; 0.85503512; 130316.18621597
1862.86; 0.6836235; 130317.57801441
1864.90; 0.6344446; 130318.86968886
1866.93; 0.67144406; 130320.23669102
1868.97; 0.74729882; 130321.75812692
1871.00; 0.81884014; 130323.42521477
1873.04; 0.85924442; 130325.17456225
1875.08; 0.86358123; 130326.9327391
1877.11; 0.84666584; 130328.65647768
1879.15; 0.834645; 130330.35574286
1881.18; 0.8535745; 130332.09354687
1883.22; 0.91892197; 130333.96439269
1885.26; 1.0293341; 130336.0600281
1887.29; 1.1664196; 130338.43475778
1889.33; 1.3002719; 130341.08199922
1891.36; 1.3986423; 130343.92951424
1893.40; 1.4366293; 130346.85436748
1895.44; 1.4037657; 130349.7123133
1897.47; 1.3064038; 130352.37203869
1899.51; 1.1649426; 130354.74376137
1901.54; 1.0071383; 130356.79420807
1903.58; 0.8599147; 130358.54492018
1905.62; 0.74238115; 130360.05634413
1907.65; 0.66211713; 130361.40435747
1909.69; 0.61549004; 130362.65744208
1911.72; 0.59133559; 130363.8613503
1913.76; 0.5762735; 130365.03459341
1915.79; 0.55960308; 130366.17389698
1917.83; 0.5361721; 130367.26549711
1919.87; 0.50659101; 130368.29687268
1921.90; 0.47524531; 130369.26443112
1923.94; 0.44731715; 130370.17513024
1925.97; 0.42620651; 130371.04284992
1928.01; 0.41234343; 130371.88234555
1930.05; 0.40363648; 130372.70411458
1932.08; 0.39705633; 130373.51248701
1934.12; 0.3904179; 130374.30734415
1936.15; 0.38345051; 130375.08801629
1938.19; 0.37767772; 130375.85693553
1940.23; 0.37524418; 130376.6209003
1942.26; 0.37734671; 130377.38914564
1944.30; 0.38312577; 130378.16915666
1946.33; 0.38967683; 130378.96250505
1948.37; 0.39333774; 130379.76330674
